paper_idx,year,age,citations,refs,cpy,early_est,late_est,beauty_ratio
0,2007,18,157,14,8.263157894736842,24.789473684210527,123.94736842105263,5.0
1,2007,18,177,54,9.31578947368421,27.94736842105263,139.73684210526315,5.0
4,2007,18,812,269,42.73684210526316,128.21052631578948,641.0526315789474,5.0
7,2007,18,66,42,3.473684210526316,10.421052631578949,52.10526315789474,5.0
9,2007,18,111,67,5.842105263157895,17.526315789473685,87.63157894736842,5.0
13,2007,18,824,15,43.36842105263158,130.10526315789474,650.5263157894738,5.0
14,2007,18,52,61,2.736842105263158,8.210526315789474,41.05263157894737,5.0
16,2007,18,72,40,3.789473684210526,11.368421052631579,56.84210526315789,5.0
17,2007,18,28,43,1.4736842105263157,4.421052631578947,22.105263157894736,5.0
19,2007,18,23,94,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
20,2007,18,1418,71,74.63157894736842,223.89473684210526,1119.4736842105265,5.000000000000001
23,2007,18,152,21,8.0,24.0,120.0,5.0
24,2007,18,108,60,5.684210526315789,17.05263157894737,85.26315789473684,4.999999999999999
26,2007,18,50,86,2.6315789473684212,7.894736842105264,39.473684210526315,4.999999999999999
27,2007,18,21,52,1.105263157894737,3.3157894736842106,16.578947368421055,5.000000000000001
28,2007,18,152,91,8.0,24.0,120.0,5.0
31,2007,18,24,13,1.263157894736842,3.789473684210526,18.94736842105263,5.0
32,2007,18,180,35,9.473684210526315,28.421052631578945,142.10526315789474,5.000000000000001
33,2007,18,21,57,1.105263157894737,3.3157894736842106,16.578947368421055,5.000000000000001
34,2007,18,51,22,2.6842105263157894,8.052631578947368,40.26315789473684,5.0
36,2007,18,27,40,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
44,2007,18,26,140,1.368421052631579,4.105263157894737,20.526315789473685,5.0
45,2007,18,33,82,1.736842105263158,5.210526315789474,26.05263157894737,5.0
46,2007,18,49,20,2.5789473684210527,7.7368421052631575,38.68421052631579,5.0
47,2007,18,56,69,2.9473684210526314,8.842105263157894,44.21052631578947,5.0
49,2007,18,63,144,3.3157894736842106,9.947368421052632,49.73684210526316,5.0
50,2007,18,718,40,37.78947368421053,113.36842105263159,566.8421052631579,5.0
54,2007,18,24,23,1.263157894736842,3.789473684210526,18.94736842105263,5.0
55,2007,18,225,40,11.842105263157896,35.526315789473685,177.63157894736844,5.0
57,2007,18,132,26,6.947368421052632,20.842105263157897,104.21052631578948,5.0
59,2007,18,58,36,3.0526315789473686,9.157894736842106,45.78947368421053,5.0
60,2007,18,118,60,6.2105263157894735,18.63157894736842,93.1578947368421,4.999999999999999
64,2007,18,100,43,5.2631578947368425,15.789473684210527,78.94736842105263,4.999999999999999
65,2007,18,245,54,12.894736842105264,38.684210526315795,193.42105263157896,5.0
66,2007,18,75,61,3.9473684210526314,11.842105263157894,59.21052631578947,5.0
67,2007,18,27,12,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
68,2007,18,82,85,4.315789473684211,12.947368421052632,64.73684210526316,5.0
69,2007,18,20,20,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
70,2007,18,32,39,1.6842105263157894,5.052631578947368,25.263157894736842,5.0
72,2007,18,72,91,3.789473684210526,11.368421052631579,56.84210526315789,5.0
76,2007,18,35,157,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
77,2007,18,98,39,5.157894736842105,15.473684210526315,77.36842105263158,5.0
78,2007,18,27,69,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
80,2007,18,24,36,1.263157894736842,3.789473684210526,18.94736842105263,5.0
81,2007,18,26,25,1.368421052631579,4.105263157894737,20.526315789473685,5.0
82,2007,18,27,33,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
85,2007,18,27,35,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
86,2007,18,74,71,3.8947368421052633,11.68421052631579,58.42105263157895,5.000000000000001
88,2007,18,29,30,1.5263157894736843,4.578947368421053,22.894736842105264,5.0
89,2007,18,46,15,2.4210526315789473,7.2631578947368425,36.31578947368421,5.0
92,2007,18,197,25,10.368421052631579,31.105263157894736,155.52631578947367,5.0
96,2007,18,78,32,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
97,2007,18,38,23,2.0,6.0,30.0,5.0
98,2007,18,32,27,1.6842105263157894,5.052631578947368,25.263157894736842,5.0
101,2007,18,22,38,1.1578947368421053,3.473684210526316,17.36842105263158,5.0
103,2007,18,193,34,10.157894736842104,30.473684210526315,152.36842105263156,4.999999999999999
104,2007,18,373,23,19.63157894736842,58.89473684210526,294.4736842105263,5.0
106,2007,18,43,74,2.263157894736842,6.789473684210526,33.94736842105263,5.0
108,2007,18,26,14,1.368421052631579,4.105263157894737,20.526315789473685,5.0
109,2007,18,20,44,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
110,2007,18,73,30,3.8421052631578947,11.526315789473685,57.63157894736842,4.999999999999999
111,2007,18,111,67,5.842105263157895,17.526315789473685,87.63157894736842,5.0
112,2007,18,102,35,5.368421052631579,16.105263157894736,80.52631578947368,5.0
114,2007,18,25,50,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
117,2007,18,45,60,2.3684210526315788,7.105263157894736,35.526315789473685,5.000000000000001
118,2007,18,29,54,1.5263157894736843,4.578947368421053,22.894736842105264,5.0
119,2007,18,86,48,4.526315789473684,13.578947368421051,67.89473684210526,5.0
120,2007,18,23,66,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
122,2007,18,71,20,3.736842105263158,11.210526315789474,56.05263157894737,5.0
123,2007,18,55,145,2.8947368421052633,8.68421052631579,43.42105263157895,5.000000000000001
124,2007,18,35,27,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
130,2007,18,80,109,4.2105263157894735,12.631578947368421,63.1578947368421,5.0
131,2007,18,397,60,20.894736842105264,62.684210526315795,313.42105263157896,5.0
134,2007,18,149,45,7.842105263157895,23.526315789473685,117.63157894736842,5.0
136,2007,18,47,17,2.473684210526316,7.421052631578948,37.10526315789474,5.0
137,2007,18,41,52,2.1578947368421053,6.473684210526316,32.36842105263158,5.0
138,2007,18,45,55,2.3684210526315788,7.105263157894736,35.526315789473685,5.000000000000001
141,2007,18,33,19,1.736842105263158,5.210526315789474,26.05263157894737,5.0
143,2007,18,87,21,4.578947368421052,13.736842105263158,68.68421052631578,4.999999999999999
144,2007,18,114,89,6.0,18.0,90.0,5.0
145,2007,18,106,66,5.578947368421052,16.736842105263158,83.68421052631578,5.0
146,2007,18,36,85,1.894736842105263,5.684210526315789,28.421052631578945,5.0
147,2007,18,41,94,2.1578947368421053,6.473684210526316,32.36842105263158,5.0
148,2007,18,330,71,17.36842105263158,52.10526315789474,260.5263157894737,5.0
149,2007,18,143,108,7.526315789473684,22.57894736842105,112.89473684210526,5.0
150,2007,18,61,50,3.210526315789474,9.631578947368421,48.15789473684211,5.0
151,2007,18,42,67,2.210526315789474,6.631578947368421,33.15789473684211,5.000000000000001
152,2007,18,97,52,5.105263157894737,15.315789473684212,76.57894736842105,4.999999999999999
154,2007,18,73,38,3.8421052631578947,11.526315789473685,57.63157894736842,4.999999999999999
156,2007,18,33,34,1.736842105263158,5.210526315789474,26.05263157894737,5.0
157,2007,18,35,9,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
160,2007,18,208,73,10.947368421052632,32.8421052631579,164.21052631578948,5.0
162,2007,18,25,40,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
164,2007,18,44,51,2.3157894736842106,6.947368421052632,34.73684210526316,5.0
165,2007,18,43,47,2.263157894736842,6.789473684210526,33.94736842105263,5.0
166,2007,18,35,74,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
167,2007,18,34,29,1.7894736842105263,5.368421052631579,26.842105263157894,5.0
169,2007,18,23,15,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
175,2007,18,96,52,5.052631578947368,15.157894736842104,75.78947368421052,5.0
176,2007,18,65,52,3.4210526315789473,10.263157894736842,51.31578947368421,5.0
177,2007,18,20,52,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
178,2007,18,45,41,2.3684210526315788,7.105263157894736,35.526315789473685,5.000000000000001
179,2007,18,168,61,8.842105263157896,26.526315789473685,132.63157894736844,5.000000000000001
180,2007,18,203,28,10.68421052631579,32.05263157894737,160.26315789473685,5.0
181,2007,18,99,79,5.2105263157894735,15.631578947368421,78.1578947368421,4.999999999999999
183,2007,18,70,13,3.6842105263157894,11.052631578947368,55.26315789473684,5.0
184,2007,18,105,56,5.526315789473684,16.57894736842105,82.89473684210526,5.0
185,2007,18,434,71,22.842105263157894,68.52631578947368,342.6315789473684,4.999999999999999
189,2007,18,66,18,3.473684210526316,10.421052631578949,52.10526315789474,5.0
192,2007,18,26,68,1.368421052631579,4.105263157894737,20.526315789473685,5.0
200,2007,18,40,41,2.1052631578947367,6.315789473684211,31.57894736842105,5.0
201,2007,18,229,159,12.052631578947368,36.1578947368421,180.78947368421052,5.0
203,2007,18,34,56,1.7894736842105263,5.368421052631579,26.842105263157894,5.0
206,2007,18,89,29,4.684210526315789,14.052631578947368,70.26315789473684,5.0
208,2007,18,78,33,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
209,2007,18,53,45,2.789473684210526,8.368421052631579,41.84210526315789,5.0
210,2007,18,107,19,5.631578947368421,16.894736842105264,84.47368421052632,5.0
212,2007,18,27,59,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
213,2007,18,161,34,8.473684210526315,25.421052631578945,127.10526315789473,5.0
214,2007,18,50,93,2.6315789473684212,7.894736842105264,39.473684210526315,4.999999999999999
215,2007,18,33,24,1.736842105263158,5.210526315789474,26.05263157894737,5.0
218,2007,18,26,68,1.368421052631579,4.105263157894737,20.526315789473685,5.0
220,2007,18,25,89,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
221,2007,18,53,65,2.789473684210526,8.368421052631579,41.84210526315789,5.0
222,2007,18,237,38,12.473684210526315,37.421052631578945,187.10526315789474,5.0
223,2007,18,80,22,4.2105263157894735,12.631578947368421,63.1578947368421,5.0
225,2007,18,438,74,23.05263157894737,69.15789473684211,345.7894736842105,5.0
226,2007,18,42,22,2.210526315789474,6.631578947368421,33.15789473684211,5.000000000000001
227,2007,18,39,48,2.0526315789473686,6.157894736842106,30.789473684210527,4.999999999999999
228,2007,18,87,47,4.578947368421052,13.736842105263158,68.68421052631578,4.999999999999999
230,2007,18,76,122,4.0,12.0,60.0,5.0
231,2007,18,30,36,1.5789473684210527,4.7368421052631575,23.68421052631579,5.000000000000001
232,2007,18,22,51,1.1578947368421053,3.473684210526316,17.36842105263158,5.0
236,2007,18,248,43,13.052631578947368,39.1578947368421,195.78947368421052,5.0
239,2007,18,72,58,3.789473684210526,11.368421052631579,56.84210526315789,5.0
240,2007,18,80,16,4.2105263157894735,12.631578947368421,63.1578947368421,5.0
241,2007,18,47,55,2.473684210526316,7.421052631578948,37.10526315789474,5.0
247,2007,18,41,34,2.1578947368421053,6.473684210526316,32.36842105263158,5.0
249,2007,18,47,47,2.473684210526316,7.421052631578948,37.10526315789474,5.0
253,2007,18,31,143,1.631578947368421,4.894736842105263,24.473684210526315,5.0
256,2007,18,73,47,3.8421052631578947,11.526315789473685,57.63157894736842,4.999999999999999
258,2007,18,47,32,2.473684210526316,7.421052631578948,37.10526315789474,5.0
259,2007,18,337,55,17.736842105263158,53.21052631578947,266.05263157894734,5.0
260,2007,18,36,19,1.894736842105263,5.684210526315789,28.421052631578945,5.0
262,2007,18,21,22,1.105263157894737,3.3157894736842106,16.578947368421055,5.000000000000001
268,2007,18,153,107,8.052631578947368,24.157894736842103,120.78947368421052,5.0
269,2007,18,128,24,6.7368421052631575,20.210526315789473,101.05263157894737,5.0
270,2007,18,69,50,3.6315789473684212,10.894736842105264,54.473684210526315,5.0
271,2007,18,78,27,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
275,2007,18,23,59,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
276,2007,18,90,96,4.7368421052631575,14.210526315789473,71.05263157894737,5.000000000000001
281,2007,18,138,50,7.2631578947368425,21.789473684210527,108.94736842105263,5.0
282,2007,18,98,44,5.157894736842105,15.473684210526315,77.36842105263158,5.0
283,2007,18,52,30,2.736842105263158,8.210526315789474,41.05263157894737,5.0
287,2007,18,50,29,2.6315789473684212,7.894736842105264,39.473684210526315,4.999999999999999
288,2007,18,71,34,3.736842105263158,11.210526315789474,56.05263157894737,5.0
290,2007,18,58,53,3.0526315789473686,9.157894736842106,45.78947368421053,5.0
291,2007,18,44,44,2.3157894736842106,6.947368421052632,34.73684210526316,5.0
292,2007,18,26,25,1.368421052631579,4.105263157894737,20.526315789473685,5.0
293,2007,18,168,35,8.842105263157896,26.526315789473685,132.63157894736844,5.000000000000001
296,2007,18,54,28,2.8421052631578947,8.526315789473685,42.63157894736842,4.999999999999999
297,2007,18,75,64,3.9473684210526314,11.842105263157894,59.21052631578947,5.0
298,2007,18,115,28,6.052631578947368,18.157894736842103,90.78947368421052,5.0
299,2007,18,65,31,3.4210526315789473,10.263157894736842,51.31578947368421,5.0
304,2007,18,60,46,3.1578947368421053,9.473684210526315,47.36842105263158,5.000000000000001
306,2007,18,98,134,5.157894736842105,15.473684210526315,77.36842105263158,5.0
307,2007,18,39,36,2.0526315789473686,6.157894736842106,30.789473684210527,4.999999999999999
309,2007,18,31,30,1.631578947368421,4.894736842105263,24.473684210526315,5.0
312,2007,18,24,49,1.263157894736842,3.789473684210526,18.94736842105263,5.0
313,2007,18,166,126,8.736842105263158,26.210526315789473,131.05263157894737,5.0
314,2007,18,77,74,4.052631578947368,12.157894736842104,60.78947368421052,5.0
315,2007,18,33,34,1.736842105263158,5.210526315789474,26.05263157894737,5.0
316,2007,18,46,18,2.4210526315789473,7.2631578947368425,36.31578947368421,5.0
319,2007,18,204,65,10.736842105263158,32.21052631578947,161.05263157894737,5.0
321,2007,18,208,20,10.947368421052632,32.8421052631579,164.21052631578948,5.0
322,2007,18,53,43,2.789473684210526,8.368421052631579,41.84210526315789,5.0
324,2007,18,51,85,2.6842105263157894,8.052631578947368,40.26315789473684,5.0
326,2007,18,26,31,1.368421052631579,4.105263157894737,20.526315789473685,5.0
328,2007,18,20,76,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
335,2007,18,25,17,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
338,2007,18,393,97,20.68421052631579,62.05263157894737,310.2631578947369,5.000000000000001
341,2007,18,94,71,4.947368421052632,14.842105263157896,74.21052631578948,5.0
343,2007,18,91,73,4.7894736842105265,14.368421052631579,71.8421052631579,5.000000000000001
350,2007,18,110,15,5.7894736842105265,17.36842105263158,86.8421052631579,5.000000000000001
352,2007,18,405,105,21.31578947368421,63.94736842105263,319.7368421052631,4.999999999999999
354,2007,18,49,30,2.5789473684210527,7.7368421052631575,38.68421052631579,5.0
355,2007,18,59,110,3.1052631578947367,9.31578947368421,46.57894736842105,4.999999999999999
356,2007,18,68,43,3.5789473684210527,10.736842105263158,53.68421052631579,5.0
357,2007,18,85,44,4.473684210526316,13.421052631578949,67.10526315789474,5.0
358,2007,18,42,26,2.210526315789474,6.631578947368421,33.15789473684211,5.000000000000001
360,2007,18,24,49,1.263157894736842,3.789473684210526,18.94736842105263,5.0
363,2007,18,89,61,4.684210526315789,14.052631578947368,70.26315789473684,5.0
364,2007,18,20,19,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
365,2007,18,26,16,1.368421052631579,4.105263157894737,20.526315789473685,5.0
367,2007,18,63,47,3.3157894736842106,9.947368421052632,49.73684210526316,5.0
371,2007,18,44,34,2.3157894736842106,6.947368421052632,34.73684210526316,5.0
373,2007,18,78,35,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
376,2007,18,31,28,1.631578947368421,4.894736842105263,24.473684210526315,5.0
377,2007,18,39,97,2.0526315789473686,6.157894736842106,30.789473684210527,4.999999999999999
378,2007,18,24,30,1.263157894736842,3.789473684210526,18.94736842105263,5.0
